# Title: December 2024 Contiguous U.S. County Average Temperature
# Units: Degrees Fahrenheit
# Missing: -99
# Note: Period of Record: 130 Years
ID,Name,State,Value,Anomaly (1901-2000 base period),Rank,1901-2000 Mean
KS-183,Smith County,Kansas,35.2,6.7,126,28.5
KS-185,Stafford County,Kansas,37.7,5.7,123,32
KS-187,Stanton County,Kansas,39.6,7,128,32.6
KS-189,Stevens County,Kansas,40.4,7.1,128,33.3
KS-191,Sumner County,Kansas,41.5,6.9,127,34.6
KS-193,Thomas County,Kansas,37.7,8.6,129,29.1
KS-195,Trego County,Kansas,36.8,6,125,30.8
KS-197,Wabaunsee County,Kansas,36.2,5.5,115,30.7
KS-199,Wallace County,Kansas,38.4,8.8,128,29.6
KS-201,Washington County,Kansas,34.6,6.1,119,28.5
KS-203,Wichita County,Kansas,37.9,7.8,128,30.1
KS-205,Wilson County,Kansas,40.7,5.6,121,35.1
KS-207,Woodson County,Kansas,39.6,5.7,120,33.9
KS-209,Wyandotte County,Kansas,36.8,5.4,117,31.4
KY-001,Adair County,Kentucky,39.9,3.1,96,36.8
KY-003,Allen County,Kentucky,42,3.9,101,38.1
KY-005,Anderson County,Kentucky,40.4,5.4,115,35.1
KY-007,Ballard County,Kentucky,42,5,114,37
KY-009,Barren County,Kentucky,41,3.3,98,37.7
KY-011,Bath County,Kentucky,39.4,4.2,105,35.2
KY-013,Bell County,Kentucky,38.7,2.3,90,36.4
KY-015,Boone County,Kentucky,38.3,4.9,109,33.4
KY-017,Bourbon County,Kentucky,39.2,4.7,109,34.5
KY-019,Boyd County,Kentucky,38.2,3,95,35.2
KY-021,Boyle County,Kentucky,40.9,5.2,114,35.7
KY-023,Bracken County,Kentucky,38.2,4.4,106,33.8
KY-025,Breathitt County,Kentucky,40.4,3.6,100,36.8
KY-027,Breckinridge County,Kentucky,39,3.3,96,35.7
KY-029,Bullitt County,Kentucky,40.9,5.2,113,35.7
KY-031,Butler County,Kentucky,41,3.8,101,37.2
KY-033,Caldwell County,Kentucky,41.7,4.5,111,37.2
KY-035,Calloway County,Kentucky,42,3.7,109,38.3
KY-037,Campbell County,Kentucky,38.7,5,111,33.7
KY-039,Carlisle County,Kentucky,42.6,5.2,116,37.4
KY-041,Carroll County,Kentucky,38.9,4.8,108,34.1
KY-043,Carter County,Kentucky,37.9,3.3,98,34.6
KY-045,Casey County,Kentucky,40.2,4.1,104,36.1
KY-047,Christian County,Kentucky,42.6,4.8,113,37.8
KY-049,Clark County,Kentucky,40.1,4.9,111,35.2
KY-051,Clay County,Kentucky,40,3.2,95,36.8
KY-053,Clinton County,Kentucky,40.8,3.3,96,37.5
KY-055,Crittenden County,Kentucky,40.6,4.1,106,36.5
KY-057,Cumberland County,Kentucky,41.4,3.4,96,38
KY-059,Daviess County,Kentucky,40,3.8,104,36.2
KY-061,Edmonson County,Kentucky,40.5,3.3,96,37.2
KY-063,Elliott County,Kentucky,38.6,3.5,100,35.1
KY-065,Estill County,Kentucky,40.6,4.2,106,36.4
KY-067,Fayette County,Kentucky,40.2,5.4,113,34.8
KY-069,Fleming County,Kentucky,38.4,3.8,101,34.6
KY-071,Floyd County,Kentucky,39.5,2.5,91,37
KY-073,Franklin County,Kentucky,40,5.2,111,34.8
KY-075,Fulton County,Kentucky,43.4,5.2,117,38.2
KY-077,Gallatin County,Kentucky,38.9,4.8,109,34.1
KY-079,Garrard County,Kentucky,41,5,110,36
KY-081,Grant County,Kentucky,38.6,4.7,108,33.9
KY-083,Graves County,Kentucky,42.6,4.8,115,37.8
KY-085,Grayson County,Kentucky,39.6,3.4,98,36.2
KY-087,Green County,Kentucky,39.9,3.1,98,36.8
KY-089,Greenup County,Kentucky,37.6,3.3,97,34.3
KY-091,Hancock County,Kentucky,38.9,2.8,90,36.1
KY-093,Hardin County,Kentucky,39.8,4.1,102,35.7
KY-095,Harlan County,Kentucky,37.4,2.1,88,35.3
KY-097,Harrison County,Kentucky,38.6,4.3,106,34.3
KY-099,Hart County,Kentucky,39.9,3,95,36.9
KY-101,Henderson County,Kentucky,40.2,4.1,107,36.1
KY-103,Henry County,Kentucky,39,4.9,110,34.1
KY-105,Hickman County,Kentucky,43.1,5.3,117,37.8
KY-107,Hopkins County,Kentucky,41.5,4.3,108,37.2
KY-109,Jackson County,Kentucky,39.8,3.7,102,36.1
KY-111,Jefferson County,Kentucky,40.4,5.1,111,35.3
KY-113,Jessamine County,Kentucky,40.9,5.6,115,35.3
KY-115,Johnson County,Kentucky,39.2,3.1,95,36.1
KY-117,Kenton County,Kentucky,38.4,5,110,33.4
KY-119,Knott County,Kentucky,39.1,2.5,93,36.6
KY-121,Knox County,Kentucky,39.9,2.9,95,37
KY-123,Larue County,Kentucky,39.8,3.8,101,36
KY-125,Laurel County,Kentucky,40.2,3.4,98,36.8
KY-127,Lawrence County,Kentucky,38.6,2.9,95,35.7
KY-129,Lee County,Kentucky,40.5,3.7,100,36.8
KY-131,Leslie County,Kentucky,39.2,2.7,96,36.5
KY-133,Letcher County,Kentucky,37.7,1.6,82,36.1
KY-135,Lewis County,Kentucky,37.6,3.4,98,34.2
KY-137,Lincoln County,Kentucky,40.5,4.6,109,35.9
KY-139,Livingston County,Kentucky,41.2,4.4,109,36.8
KY-141,Logan County,Kentucky,41.6,3.7,102,37.9
KY-143,Lyon County,Kentucky,41.9,4.4,109,37.5
KY-145,McCracken County,Kentucky,42.3,5.3,116,37
KY-147,McCreary County,Kentucky,39.7,2.8,94,36.9
KY-149,McLean County,Kentucky,40.9,4.2,107,36.7
KY-151,Madison County,Kentucky,40.9,4.8,110,36.1
KY-153,Magoffin County,Kentucky,39.7,3.5,98,36.2
KY-155,Marion County,Kentucky,40.6,4.5,108,36.1
KY-157,Marshall County,Kentucky,42.1,4.3,110,37.8
KY-159,Martin County,Kentucky,39.1,2.4,92,36.7
KY-161,Mason County,Kentucky,37.8,3.9,102,33.9
KY-163,Meade County,Kentucky,39.5,4.2,103,35.3
KY-165,Menifee County,Kentucky,39.7,4.2,104,35.5
KY-167,Mercer County,Kentucky,40.9,5.4,114,35.5
KY-169,Metcalfe County,Kentucky,40.2,3.1,97,37.1
KY-171,Monroe County,Kentucky,41.4,3.4,98,38
KY-173,Montgomery County,Kentucky,39.5,4.5,108,35
KY-175,Morgan County,Kentucky,39.6,3.9,102,35.7
KY-177,Muhlenberg County,Kentucky,41.3,4,103,37.3
KY-179,Nelson County,Kentucky,40.7,4.9,111,35.8
KY-181,Nicholas County,Kentucky,38.5,4.1,103,34.4
KY-183,Ohio County,Kentucky,40.2,3.6,100,36.6
KY-185,Oldham County,Kentucky,38.9,4.7,107,34.2
KY-187,Owen County,Kentucky,39.1,4.9,108,34.2
KY-189,Owsley County,Kentucky,40.4,3.4,98,37
KY-191,Pendleton County,Kentucky,38.6,4.6,107,34
KY-193,Perry County,Kentucky,39.5,2.8,97,36.7
KY-195,Pike County,Kentucky,39.1,2.1,89,37
KY-197,Powell County,Kentucky,40.3,4.3,106,36
KY-199,Pulaski County,Kentucky,40.2,3.4,97,36.8
KY-201,Robertson County,Kentucky,38.2,4.1,103,34.1
KY-203,Rockcastle County,Kentucky,40.2,3.9,103,36.3
KY-205,Rowan County,Kentucky,38.8,3.7,101,35.1
KY-207,Russell County,Kentucky,40.1,3.1,96,37
KY-209,Scott County,Kentucky,39.4,5,109,34.5
KY-211,Shelby County,Kentucky,39.4,5,111,34.4
KY-213,Simpson County,Kentucky,41.9,3.9,101,38
KY-215,Spencer County,Kentucky,40.2,5.1,110,35.1
KY-217,Taylor County,Kentucky,40,3.6,100,36.4
KY-219,Todd County,Kentucky,42.2,4.3,108,37.9
KY-221,Trigg County,Kentucky,42.4,4.4,110,38
KY-223,Trimble County,Kentucky,38.5,4.7,108,33.8
KY-225,Union County,Kentucky,39.4,3.2,97,36.2
KY-227,Warren County,Kentucky,41.9,4.2,104,37.7
KY-229,Washington County,Kentucky,40.8,5.2,115,35.6
KY-231,Wayne County,Kentucky,40,2.9,94,37.1
KY-233,Webster County,Kentucky,40.5,3.9,106,36.6
KY-235,Whitley County,Kentucky,39.9,2.7,91,37.2
KY-237,Wolfe County,Kentucky,40.2,4,104,36.2
KY-239,Woodford County,Kentucky,40.6,5.6,115,35
LA-001,Acadia Parish,Louisiana,57.2,4,113,53.2
LA-003,Allen Parish,Louisiana,56.6,4.7,119,51.9
LA-005,Ascension Parish,Louisiana,57,3.8,109,53.2
LA-007,Assumption Parish,Louisiana,57.6,3.6,105,54
LA-009,Avoyelles Parish,Louisiana,55.3,4.2,113,51.1
LA-011,Beauregard Parish,Louisiana,56.5,5,120,51.5
LA-013,Bienville Parish,Louisiana,53.1,6.3,124,46.8
LA-015,Bossier Parish,Louisiana,52.7,5.9,123,46.8
LA-017,Caddo Parish,Louisiana,53,5.7,123,47.3
LA-019,Calcasieu Parish,Louisiana,57.9,4.9,121,53
LA-021,Caldwell Parish,Louisiana,52.6,4.6,120,48
LA-023,Cameron Parish,Louisiana,58.9,4.7,119,54.2
LA-025,Catahoula Parish,Louisiana,52.8,3.4,105,49.4
LA-027,Claiborne Parish,Louisiana,51.6,5.5,121,46.1
LA-029,Concordia Parish,Louisiana,53.2,3.2,104,50
LA-031,De Soto Parish,Louisiana,53.4,5.5,122,47.9
LA-033,East Baton Rouge Parish,Louisiana,56.6,4.3,114,52.4
LA-035,East Carroll Parish,Louisiana,51.5,4.6,116,46.9
LA-037,East Feliciana Parish,Louisiana,54.9,3.7,110,51.2
LA-039,Evangeline Parish,Louisiana,56.4,4.5,116,51.9
LA-041,Franklin Parish,Louisiana,52.3,3.9,110,48.4
LA-043,Grant Parish,Louisiana,53.6,4.3,114,49.3
LA-045,Iberia Parish,Louisiana,57.9,3.8,112,54.1
LA-047,Iberville Parish,Louisiana,57.2,4.1,112,53.1
LA-049,Jackson Parish,Louisiana,52.7,5.9,122,46.8
LA-051,Jefferson Parish,Louisiana,58.6,3.5,108,55.1
LA-053,Jefferson Davis Parish,Louisiana,57.4,4,116,53.4
LA-055,Lafayette Parish,Louisiana,57.5,4.2,115,53.3
LA-057,Lafourche Parish,Louisiana,58.8,3.3,102,55.5
LA-059,La Salle Parish,Louisiana,53.3,4.1,114,49.2
LA-061,Lincoln Parish,Louisiana,52.2,5.9,122,46.3
LA-063,Livingston Parish,Louisiana,56.2,3.8,112,52.4
LA-065,Madison Parish,Louisiana,52.2,4.3,115,47.9
LA-067,Morehouse Parish,Louisiana,51.4,4.9,118,46.5
LA-069,Natchitoches Parish,Louisiana,53.7,4.8,119,48.9
LA-071,Orleans Parish,Louisiana,57.6,3.5,108,54.1
LA-073,Ouachita Parish,Louisiana,52.4,5.3,122,47.1
LA-075,Plaquemines Parish,Louisiana,59.2,3.4,108,55.8
LA-077,Pointe Coupee Parish,Louisiana,56.3,4.1,112,52.2
LA-079,Rapides Parish,Louisiana,55.2,4.8,119,50.4
LA-081,Red River Parish,Louisiana,53.6,5.9,122,47.7
LA-083,Richland Parish,Louisiana,52.4,4.8,118,47.6
LA-085,Sabine Parish,Louisiana,53.7,4.9,121,48.8
LA-087,St. Bernard Parish,Louisiana,57.8,3.4,107,54.4
LA-089,St. Charles Parish,Louisiana,58,3.4,107,54.6
LA-091,St. Helena Parish,Louisiana,54.6,3.7,108,50.9
LA-093,St. James Parish,Louisiana,57.3,3.6,107,53.7
LA-095,St. John the Baptist Parish,Louisiana,57.2,3.6,107,53.6
LA-097,St. Landry Parish,Louisiana,56.6,4.2,115,52.4
LA-099,St. Martin Parish,Louisiana,57.5,4,112,53.5
LA-101,St. Mary Parish,Louisiana,58.2,3.8,113,54.4
LA-103,St. Tammany Parish,Louisiana,56,3.8,109,52.2
LA-105,Tangipahoa Parish,Louisiana,55.2,3.7,109,51.5
LA-107,Tensas Parish,Louisiana,51.9,3.1,100,48.8
LA-109,Terrebonne Parish,Louisiana,59.1,3.4,103,55.7
LA-111,Union Parish,Louisiana,51.8,5.6,122,46.2
LA-113,Vermilion Parish,Louisiana,58.1,3.8,112,54.3
LA-115,Vernon Parish,Louisiana,55.2,5.1,121,50.1
LA-117,Washington Parish,Louisiana,54.4,3.7,109,50.7
LA-119,Webster Parish,Louisiana,52.2,5.6,121,46.6
LA-121,West Baton Rouge Parish,Louisiana,57,4.3,114,52.7
LA-123,West Carroll Parish,Louisiana,51.3,4.6,115,46.7
LA-125,West Feliciana Parish,Louisiana,55.4,3.9,113,51.5
LA-127,Winn Parish,Louisiana,53.1,5,121,48.1
ME-001,Androscoggin County,Maine,25.8,3.3,88,22.5
ME-003,Aroostook County,Maine,20.2,5.2,109,15
ME-005,Cumberland County,Maine,26.7,2.8,85,23.9
ME-007,Franklin County,Maine,20.8,3.9,96,16.9
ME-009,Hancock County,Maine,26.7,3.5,91,23.2
ME-011,Kennebec County,Maine,26.2,4.1,98,22.1
ME-013,Knox County,Maine,28.2,3.5,95,24.7
ME-015,Lincoln County,Maine,28.2,3.8,94,24.4
ME-017,Oxford County,Maine,22.8,3.7,92,19.1
ME-019,Penobscot County,Maine,23.8,4.4,99,19.4
ME-021,Piscataquis County,Maine,20.8,4.7,104,16.1
ME-023,Sagadahoc County,Maine,27.9,3.5,94,24.4
ME-025,Somerset County,Maine,20.7,4.1,99,16.6
ME-027,Waldo County,Maine,26.4,3.9,98,22.5
ME-029,Washington County,Maine,26.2,3.7,96,22.5
ME-031,York County,Maine,27.5,2.5,83,25
MD-001,Allegany County,Maryland,34.2,2.1,83,32.1
MD-003,Anne Arundel County,Maryland,39.4,2.5,88,36.9
MD-005,Baltimore County,Maryland,36.3,2.1,82,34.2
MD-009,Calvert County,Maryland,39.8,2.3,86,37.5
MD-011,Caroline County,Maryland,38.2,1.9,77,36.3
MD-013,Carroll County,Maryland,35.2,2.4,88,32.8
MD-015,Cecil County,Maryland,36,1.7,72,34.3
MD-017,Charles County,Maryland,39.6,2.3,89,37.3
MD-019,Dorchester County,Maryland,40.2,2.6,87,37.6
MD-021,Frederick County,Maryland,35.6,2.4,88,33.2
MD-023,Garrett County,Maryland,31.4,2.6,87,28.8
MD-025,Harford County,Maryland,35.8,1.6,71,34.2
MD-027,Howard County,Maryland,36.9,2.7,89,34.2
MD-029,Kent County,Maryland,37.5,1.5,69,36
MD-031,Montgomery County,Maryland,37.4,2.8,88,34.6
MD-033,Prince George&#039;s County,Maryland,39.1,2.7,89,36.4
MD-035,Queen Anne&#039;s County,Maryland,38,1.8,74,36.2
MD-037,St. Mary&#039;s County,Maryland,39.8,1.8,80,38.1
MD-039,Somerset County,Maryland,41.5,2.8,92,38.7
MD-041,Talbot County,Maryland,39.6,2.3,87,37.3
MD-043,Washington County,Maryland,35.3,2.5,89,32.8
MD-045,Wicomico County,Maryland,40.6,2.8,89,37.8
MD-047,Worcester County,Maryland,41.5,2.7,86,38.8
MD-510,Baltimore City,Maryland,38.4,2.3,81,36.1
MD-511,Washington,District of Columbia,39.2,2.9,91,36.4
MA-001,Barnstable County,Massachusetts,35.9,2.4,85,33.5
MA-003,Berkshire County,Massachusetts,26.5,2,75,24.5
MA-005,Bristol County,Massachusetts,34,2.5,84,31.5
MA-007,Dukes County,Massachusetts,36.2,2.1,81,34.1
MA-009,Essex County,Massachusetts,31.7,2.6,86,29.1
MA-011,Franklin County,Massachusetts,27.8,2.7,86,25.1
MA-013,Hampden County,Massachusetts,29.6,2.5,84,27.1
MA-015,Hampshire County,Massachusetts,28.6,2.4,82,26.2
MA-017,Middlesex County,Massachusetts,31.3,3,92,28.3
MA-019,Nantucket County,Massachusetts,37.4,2.5,88,34.9
MA-021,Norfolk County,Massachusetts,32.8,3.1,94,29.7
MA-023,Plymouth County,Massachusetts,34.5,2.8,93,31.7
MA-025,Suffolk County,Massachusetts,33.7,3.3,99,30.4
MA-027,Worcester County,Massachusetts,29.8,3,91,26.8
MI-001,Alcona County,Michigan,27.3,4.3,102,23
MI-003,Alger County,Michigan,24.5,4,103,20.5
MI-005,Allegan County,Michigan,32.4,4.6,108,27.8
MI-007,Alpena County,Michigan,27.9,4.9,107,23
MI-009,Antrim County,Michigan,28,4.6,107,23.4
MI-011,Arenac County,Michigan,28.9,4.2,98,24.7
MI-013,Baraga County,Michigan,21.8,5.4,105,16.4
MI-015,Barry County,Michigan,30.9,4.6,103,26.3
MI-017,Bay County,Michigan,29.9,4.2,99,25.7
MI-019,Benzie County,Michigan,28.8,4.6,109,24.2
MI-021,Berrien County,Michigan,33.7,5.7,111,28
MI-023,Branch County,Michigan,31.1,4.6,104,26.5
MI-025,Calhoun County,Michigan,31.3,5.1,108,26.2
MI-027,Cass County,Michigan,32,5.1,108,26.9
MI-029,Charlevoix County,Michigan,28.2,4.5,105,23.7
MI-031,Cheboygan County,Michigan,27.4,5,109,22.4
MI-033,Chippewa County,Michigan,24.5,4.1,99,20.4
MI-035,Clare County,Michigan,27.2,4.1,102,23.1
MI-037,Clinton County,Michigan,30.3,4.2,102,26.1
MI-039,Crawford County,Michigan,25.9,4.2,101,21.7
MI-041,Delta County,Michigan,25.6,4.4,104,21.2
MI-043,Dickinson County,Michigan,22.7,5.6,108,17.1
MI-045,Eaton County,Michigan,30.6,4.6,103,26
MI-047,Emmet County,Michigan,28.1,5,108,23.1
MI-049,Genesee County,Michigan,30.9,5,108,25.9
MI-051,Gladwin County,Michigan,28.2,4,100,24.2
MI-053,Gogebic County,Michigan,20.7,5.7,108,15
MI-055,Grand Traverse County,Michigan,28.5,4.9,107,23.6
MI-057,Gratiot County,Michigan,29.7,4.1,100,25.6
MI-059,Hillsdale County,Michigan,30.5,4.4,103,26.1
MI-061,Houghton County,Michigan,23.4,5.8,112,17.6
MI-063,Huron County,Michigan,30.5,5,109,25.5
MI-065,Ingham County,Michigan,30.3,4.4,101,25.9
MI-067,Ionia County,Michigan,29.9,4,100,25.9
MI-069,Iosco County,Michigan,28.4,4.4,101,24
MI-071,Iron County,Michigan,20.8,5.9,107,14.9
MI-073,Isabella County,Michigan,28.2,3.7,94,24.5
MI-075,Jackson County,Michigan,30.7,4.8,105,25.9
MI-077,Kalamazoo County,Michigan,32,5.2,108,26.8
MI-079,Kalkaska County,Michigan,26.8,4.4,102,22.4
MI-081,Kent County,Michigan,30.4,4.1,102,26.3
MI-083,Keweenaw County,Michigan,24.3,5.6,107,18.7
MI-085,Lake County,Michigan,27.9,3.5,96,24.4
MI-087,Lapeer County,Michigan,30.4,4.6,104,25.8
MI-089,Leelanau County,Michigan,29.5,4.9,109,24.6
MI-091,Lenawee County,Michigan,32.2,5.3,109,26.9
MI-093,Livingston County,Michigan,30.6,5,104,25.6
MI-095,Luce County,Michigan,23.8,3.5,98,20.3
MI-097,Mackinac County,Michigan,25.6,4.1,100,21.5
MI-099,Macomb County,Michigan,32.6,5,109,27.6
MI-101,Manistee County,Michigan,28.4,3.7,103,24.7
MI-103,Marquette County,Michigan,22.6,5.1,104,17.5
MI-105,Mason County,Michigan,29,3.4,99,25.6
MI-107,Mecosta County,Michigan,27.8,3.6,97,24.2
MI-109,Menominee County,Michigan,25.1,5.2,105,20
MI-111,Midland County,Michigan,29.4,4,98,25.4
MI-113,Missaukee County,Michigan,26.6,4.4,104,22.2
MI-115,Monroe County,Michigan,33.6,5.3,109,28.3
MI-117,Montcalm County,Michigan,28.6,3.7,98,24.9
MI-119,Montmorency County,Michigan,26.8,4.7,107,22.1
MI-121,Muskegon County,Michigan,31.7,4.7,110,27
MI-123,Newaygo County,Michigan,29.3,4.1,104,25.2
MI-125,Oakland County,Michigan,31,4.9,109,26.1
MI-127,Oceana County,Michigan,30,4.3,107,25.7
MI-129,Ogemaw County,Michigan,27.2,4.6,105,22.6
MI-131,Ontonagon County,Michigan,22.4,5.7,110,16.7
MI-133,Osceola County,Michigan,26.8,3.9,99,22.9
MI-135,Oscoda County,Michigan,26.4,4.5,104,21.9
MI-137,Otsego County,Michigan,25.9,4.6,106,21.3
MI-139,Ottawa County,Michigan,32.1,4.3,104,27.8
MI-141,Presque Isle County,Michigan,27.6,4.8,108,22.8
MI-143,Roscommon County,Michigan,26.6,4.5,103,22.1
MI-145,Saginaw County,Michigan,30.6,4.7,104,25.9
MI-147,St. Clair County,Michigan,32,4.7,107,27.3
MI-149,St. Joseph County,Michigan,31.8,4.8,104,27
MI-151,Sanilac County,Michigan,30.6,4.7,105,25.9
MI-153,Schoolcraft County,Michigan,25.4,4.2,105,21.2
MI-155,Shiawassee County,Michigan,30.6,4.7,102,25.9
MI-157,Tuscola County,Michigan,30.1,4.4,100,25.7
MI-159,Van Buren County,Michigan,33.1,5.4,112,27.7
MI-161,Washtenaw County,Michigan,31.2,4.9,106,26.3
MI-163,Wayne County,Michigan,33.1,5.2,110,27.9
MI-165,Wexford County,Michigan,26.8,4.1,102,22.7
MN-001,Aitkin County,Minnesota,19.6,7.6,111,12
MN-003,Anoka County,Minnesota,22.9,6.6,108,16.3
MN-005,Becker County,Minnesota,18,7.2,101,10.8
MN-007,Beltrami County,Minnesota,16.7,7.7,105,9
MN-009,Benton County,Minnesota,21.1,6.9,108,14.2
MN-011,Big Stone County,Minnesota,21,5.9,99,15.1
MN-013,Blue Earth County,Minnesota,23.8,5.6,105,18.2
MN-015,Brown County,Minnesota,23.9,6.3,108,17.6
MN-017,Carlton County,Minnesota,18.9,6.5,104,12.4
MN-019,Carver County,Minnesota,23,6.3,108,16.7
MN-021,Cass County,Minnesota,18.9,7.5,108,11.4
MN-023,Chippewa County,Minnesota,22,6.2,104,15.8
MN-025,Chisago County,Minnesota,22.5,6.7,107,15.8
MN-027,Clay County,Minnesota,17.8,6.1,100,11.7
MN-029,Clearwater County,Minnesota,16.7,7.2,102,9.5
MN-031,Cook County,Minnesota,16.9,5.9,108,11
MN-033,Cottonwood County,Minnesota,23.8,6.6,109,17.2
MN-035,Crow Wing County,Minnesota,20.6,7.9,114,12.7
MN-037,Dakota County,Minnesota,23.8,6.1,105,17.7
MN-039,Dodge County,Minnesota,23.7,6.7,110,17
MN-041,Douglas County,Minnesota,19.6,7.2,108,12.4
MN-043,Faribault County,Minnesota,24.1,5.5,106,18.6
MN-045,Fillmore County,Minnesota,23.9,5.5,104,18.4
MN-047,Freeborn County,Minnesota,24.1,6.3,107,17.8
MN-049,Goodhue County,Minnesota,24.1,6.6,111,17.5
MN-051,Grant County,Minnesota,19.7,6.5,103,13.2
MN-053,Hennepin County,Minnesota,23.1,6.4,108,16.7
MN-055,Houston County,Minnesota,24.8,5,99,19.8
MN-057,Hubbard County,Minnesota,18.2,7.5,106,10.7
MN-059,Isanti County,Minnesota,22.2,6.9,108,15.3
MN-061,Itasca County,Minnesota,17.4,7.4,105,10
MN-063,Jackson County,Minnesota,23.9,6.1,109,17.8
MN-065,Kanabec County,Minnesota,21,7.1,109,13.9
MN-067,Kandiyohi County,Minnesota,21.6,6.8,105,14.8
MN-069,Kittson County,Minnesota,13.6,6.1,98,7.5
MN-071,Koochiching County,Minnesota,16.4,7.9,107,8.5
MN-073,Lac qui Parle County,Minnesota,22,5.7,99,16.3
MN-075,Lake County,Minnesota,15.9,5.7,103,10.2
MN-077,Lake of the Woods County,Minnesota,17.1,9.4,114,7.7
MN-079,Le Sueur County,Minnesota,23.6,6.1,106,17.5
MN-081,Lincoln County,Minnesota,21.9,5.7,99,16.2
MN-083,Lyon County,Minnesota,22.8,5.8,101,17
MN-085,McLeod County,Minnesota,22.6,6.4,105,16.2
MN-087,Mahnomen County,Minnesota,17,7.1,102,9.9
MN-089,Marshall County,Minnesota,15.2,6.8,100,8.4
MN-091,Martin County,Minnesota,24,5.8,106,18.2
MN-093,Meeker County,Minnesota,21.6,6.5,104,15.1
MN-095,Mille Lacs County,Minnesota,21,7.3,109,13.7
MN-097,Morrison County,Minnesota,20.5,7,110,13.5
MN-099,Mower County,Minnesota,23.5,6.1,106,17.4
MN-101,Murray County,Minnesota,22.9,6.1,103,16.8
MN-103,Nicollet County,Minnesota,23.6,5.9,106,17.7
MN-105,Nobles County,Minnesota,23.2,5.5,105,17.7
MN-107,Norman County,Minnesota,16.8,6,99,10.8
MN-109,Olmsted County,Minnesota,23.9,6.2,108,17.7
MN-111,Otter Tail County,Minnesota,19,7.2,105,11.8
MN-113,Pennington County,Minnesota,15.5,6.5,100,9
MN-115,Pine County,Minnesota,20.2,6.9,106,13.3
MN-117,Pipestone County,Minnesota,22.5,5.7,101,16.8
MN-119,Polk County,Minnesota,16.4,6.6,99,9.8
MN-121,Pope County,Minnesota,20.4,7,105,13.4
MN-123,Ramsey County,Minnesota,23.5,6.3,108,17.2
MN-125,Red Lake County,Minnesota,15.9,6.5,99,9.4
MN-127,Redwood County,Minnesota,23.5,6.2,104,17.3
MN-129,Renville County,Minnesota,23.2,6.7,106,16.5
MN-131,Rice County,Minnesota,23.7,6.5,106,17.2
MN-133,Rock County,Minnesota,23.9,6,107,17.9
MN-135,Roseau County,Minnesota,15.1,7.9,104,7.2
MN-137,St. Louis County,Minnesota,16.5,7,107,9.5
MN-139,Scott County,Minnesota,23.6,6.1,105,17.5
MN-141,Sherburne County,Minnesota,22.1,7,109,15.1
MN-143,Sibley County,Minnesota,23.3,6.2,107,17.1
MN-145,Stearns County,Minnesota,20.5,6.4,104,14.1
MN-147,Steele County,Minnesota,24,6.8,109,17.2
MN-149,Stevens County,Minnesota,20.4,6.5,103,13.9
MN-151,Swift County,Minnesota,21.2,6.3,104,14.9
MN-153,Todd County,Minnesota,20,7.5,110,12.5
MN-155,Traverse County,Minnesota,20.3,6,100,14.3
MN-157,Wabasha County,Minnesota,24.3,6,107,18.3
MN-159,Wadena County,Minnesota,19.6,7.9,111,11.7
MN-161,Waseca County,Minnesota,23.9,6.3,106,17.6
MN-163,Washington County,Minnesota,23.5,6.3,107,17.2
MN-165,Watonwan County,Minnesota,24.1,6.2,107,17.9
MN-167,Wilkin County,Minnesota,19.1,6.1,99,13
MN-169,Winona County,Minnesota,24,5.2,99,18.8
MN-171,Wright County,Minnesota,22.1,6.6,106,15.5
MN-173,Yellow Medicine County,Minnesota,22.5,5.8,100,16.7
MS-001,Adams County,Mississippi,52.3,2.7,100,49.6
MS-003,Alcorn County,Mississippi,45.6,4.1,108,41.5
MS-005,Amite County,Mississippi,52.9,3,100,49.9
MS-007,Attala County,Mississippi,50,4.5,113,45.5
MS-009,Benton County,Mississippi,46.6,4.8,116,41.8
MS-011,Bolivar County,Mississippi,48.8,4.3,114,44.5
MS-013,Calhoun County,Mississippi,48.2,3.8,109,44.4
MS-015,Carroll County,Mississippi,50.8,5.7,120,45.1
MS-017,Chickasaw County,Mississippi,47.8,3.4,103,44.4
MS-019,Choctaw County,Mississippi,48.4,3.5,106,44.9
MS-021,Claiborne County,Mississippi,52.1,3.4,103,48.7
MS-023,Clarke County,Mississippi,51.2,3.1,100,48.1
MS-025,Clay County,Mississippi,48,2.9,98,45.1
MS-027,Coahoma County,Mississippi,48.5,4.9,115,43.6
MS-029,Copiah County,Mississippi,53,4.3,112,48.7
MS-031,Covington County,Mississippi,52.2,3.2,102,49
MS-033,DeSoto County,Mississippi,47.4,4.6,114,42.8
MS-035,Forrest County,Mississippi,52.3,2.2,92,50.1
MS-037,Franklin County,Mississippi,52,2.7,96,49.3
MS-039,George County,Mississippi,53.2,2.3,88,50.9
MS-041,Greene County,Mississippi,52,2,90,50
MS-043,Grenada County,Mississippi,49.7,4.9,116,44.8
MS-045,Hancock County,Mississippi,55.4,3.3,104,52.1
MS-047,Harrison County,Mississippi,54.7,2.7,97,52
MS-049,Hinds County,Mississippi,53,4.9,117,48.1
MS-051,Holmes County,Mississippi,51.3,5.1,117,46.2
MS-053,Humphreys County,Mississippi,51.5,5.1,117,46.4
MS-055,Issaquena County,Mississippi,51.6,4.6,116,47
MS-057,Itawamba County,Mississippi,47.1,3.7,109,43.4
